páwa	[接続詞] だけど
pemecepe	[母音幹名詞] 東諸島共和国連合、ペメセペ
phecú	[母音幹名詞] ペースー、「バート風」茸汁
pedia	[母音幹名詞] フェディア（バート民族を含む複数の民族よりなる文化圏）
phúpen	[子音幹名詞] ウサギ
phaicnixate	[母音幹名詞] 麺
phaigahomá	[連体詞] パイグの
pautawauta	[母音幹名詞] 能力レベル、質的水準
bammic	[子音幹名詞] バンミス（スキューティオエ叙事詩の決まり文句）
bacú	[母音幹名詞] 液体の植物油
bhattá	[子音幹名詞]{複数形のみ} 味
bhalí	[母音幹名詞] ファリーア（外来人名）
bhá	[母音幹名詞] （聞き手を含まない）私たち
bhá	[連体詞] 全ての
bhápúḷ	[状態動詞] <主格>は<hína>である
bháma	[母音幹名詞] （聞き手を含む）私たち
bhámaum	[連体詞] （聞き手を含む）私たちの
bhát	[子音幹名詞] バート語（言語名）、バート民族（民族名）
bhátnímaṣ	[子音幹名詞] バート民族	[子音幹名詞] バートニーマシュ
bhátán zepha	[母音幹名詞] バート語（言語名） 
bátujúḷ	[動作動詞] <主格>は飛行する
bhátúḷ	[動作動詞] <主格>は<ghi>に対して<対格>を話す	[状態動詞] <主格>は<対格>という言語を話す能力がある、<主格>は喋っている、<主格>は声を出している
bhán	[後置詞] ～と共に、～を通って
báni	[母音幹名詞] 文字
bánim	[鼻音性名詞] バーニム（バート名）
bhánimmúḷ	[状態動詞] 秋である
bhárúḷ	[瞬間動詞] 風が吹く	[状態動詞] 風が吹いている
bákatú	[母音幹名詞] 勇敢な者、勇者
bákatúḷ	[状態動詞] <主格>は勇敢である、<主格>は勇ましい
bháheúḷ	[状態動詞] <主格>は遅刻している、<主格>は遅れている
bhájabáni	[母音幹名詞] 数字
bom	[副詞] ～できない
bhoman	[鼻音性名詞] ボマン、ボーマン（バート名） §1.3.
bhomúḷ	[瞬間動詞] <主格>は<対格>を取る、<主格>は<対格>を持つ	[状態動詞] <主格>は<対格>を持っている
bhodi	[母音幹名詞] 海
bhodibhattá	[子音幹名詞]{複数形のみ} 海の味
boṇúḷ	[動作動詞] <主格>は<対格>を舐める、<主格>は<対格>を湿らせる
bhoṇau	[母音幹名詞] 巣穴
bhoḷog	[gh性名詞] 法、法体系
bhog	[gh性名詞] 色
bohúḷ	[動作動詞] <主格>は<ghi>へ行く、<主格>は<hína>に出席する	[瞬間動詞] <主格>は<oṣa>を去る
bhoúḷ	[状態動詞] <主格>が<hína>に満ちあふれている
bhaum	[連体詞] （聞き手を含まない）私たちの 
baukká	[副詞] だんだん
masátu	[母音幹名詞] 人を騙す意図のある嘘
manáman	[子音幹名詞] 親
makati	[母音幹名詞] マカティ（アイル共和国の首都）
mábha	[母音幹名詞] あなたたち、お前ら
ṣabhahu	[母音幹名詞]　オパール
cazúḷ	[動作動詞] 深くする、<主格>は<具格>との関係を深める §21
catíg	[gh性名詞] 刺す虫 §5.3.
ṣahe	[依存名詞] <属格>の両方
cahúḷ	[動作動詞] <主格>は<対格>をつかまえる、<主格>は<対格>をせきとめる §21
cajxit	[子音幹名詞] 革命
ṣá	[gh性名詞] 上 §5.3.
ṣádhosammá	[母音幹名詞] シャードザンマー（バート名） §1.3.
ṣán	[鼻音性名詞] 五
ṣánom	[子音幹名詞] 八
ṣánomán	[属格性連体詞] 八つの (< ṣánom) §1.3.
cákíkaúḷ	[動作動詞] <主格>は<対格>をもたらす、<主格>は<対格>を訪れさせる
cákíkúḷ	[動作動詞] <主格>は<oṣa>から来る、<主格>は<hína>を訪れる	[状態動詞] <oṣa>が<主格>の出身地である
cájau	[後置詞] ～と共に
cepatepa	[母音幹名詞] 会話
ṣekahunnúḷ	[動作動詞] 絡まる
cekhai	[母音幹名詞] セッカイク（ボードゲームの名）
ṣibhai	[母音幹名詞] 国、国家
ṣím	[子音幹名詞] 種無しパン、無発酵パン
ṣíkahúḷ	[瞬間動詞] 座る	[状態動詞] 座っている
ṣíyáúḷ	[動作動詞] <主格>は<対格>を判断・評価する、<主格>は<対格>を<具格>と見なす
ṣúsa	[母音幹名詞] 空
com	[連体詞] どの
ṣoma	[母音幹名詞] 土手
ṣomaúḷ	[動作動詞] <主格>は<具格>に敬礼する
ṣomúḷ	[動作動詞] <主格>は<対格>を積む
ṣot	[連体詞] 多くの、たくさんの
coṇaná	[子音幹名詞 複数] どれか
ṣonáronázáúḷ	[動作動詞] <主格>は<具格>に<対格>への不思議の念を抱かせる	[状態動詞] <主格>は<具格>にとって不思議である
ṣonáronáúḷ	[動作動詞] <主格>は<対格>を不思議に思う
coghani	[副詞] いつか
coghi	[副詞] いつ
coghom	[連体詞] いつの
ṣoya	[母音幹名詞] 壁
cai	[母音幹名詞] 近く
cainíju	[母音幹名詞] チョッキ
sá	[母音幹名詞] 女
sese	[間投詞] いやだ、めんどうだなあ
síbha	[母音幹名詞] 故郷、祖国
su	[母音幹名詞] 金銭
sujúḷ	[動作動詞] <主格>は<hína>という目的のために<対格>を使う
suúḷ	[状態動詞] 商売をしている、商人である §21
súḷa	[母音幹名詞] 芳香の強い草や実
xallánom	[子音幹名詞] 擬属格（バート語文法用語）
xeju	[母音幹名詞] シェユ（ユエスレオネ連邦の中心部）
xízía	[間投詞] こんにちは
zápiopec	[子音幹名詞] 共和国 
záúḷ	[動作動詞] <主格>は<対格>を<具格>に行わせる
zekata	[母音幹名詞] 腰巻き
zíghíṣ	[子音幹名詞] 時計
zúḷ	[動作動詞] <主格>は<対格>を行う §21
zausáṇauṭu	[母音幹名詞] 動作動詞
taku	[母音幹名詞] 流れ、繋がり
táphíyot	[子音幹名詞] おしゃれな箱
ṭác	[連体詞] 尊敬すべき
toyat	[子音幹名詞] トイター教徒
dat	[添詞] ～だけ
dáṣ	[子音幹名詞] 後ろ
ḍáz	[子音幹名詞] 店、商店
dházúḷ	[状態動詞] <主格>は楽しい
dháradúḷ	[動作動詞] <主格単数>は一つの場所に集まる、<主格単数>は一つの場所に集まってものを成す
dákínúḷ	[動作動詞] <主格>は<対格>を<ghi>に与える
dhez	[子音幹名詞] 小休止
dhíp	[子音幹名詞] 鎖
díṣlo	[母音幹名詞] 花
dhíná	[母音幹名詞] 後置格（バート語文法用語）
ḍujúḷ	[動作動詞] 賄賂を渡す
doma	[母音幹名詞] 誰
dhozocúḷ	[瞬間動詞] 驚く
dhoḷop	[子音幹名詞] 島
dhoḷopáná dhárad	[子音幹名詞] 東諸島共和国連合
dhokit	[子音幹名詞] 果実
náḷawaim	[鼻音性名詞] ナーラワイム（バート名）
náhepa	[母音幹名詞] どこ	[副詞] どこ
náhúḷ	[瞬間動詞] <主格>は<対格>を<ghi>に付け加える
nához	[子音幹名詞] 名詞を格変化させること
nímaṣ	[子音幹名詞] 民族
nín	[子音幹名詞] 紙
nínaccú	[母音幹名詞]（文章が書き込まれた）貝葉
nutta	[母音幹名詞] 水
númama	[母音幹名詞] ヌーママ（アイル共和国の都市）
núdha	[母音幹名詞] 遊び
núdhabhoḷog	[gh性名詞] 遊戯規則
núḷ	[動作動詞] <主格>は<対格>を洗う §21
not	[連体詞] なんの
non	[鼻音性名詞] 劣悪なもの
nautu	[母音幹名詞] 単語
nauki	[母音幹名詞] 塩および穀物の入る木箱
lábha	[間投詞] もしもし？ §1.2.
lási	[母音幹名詞] 一	[母音幹名詞] 一人の人
lexeḷ	[子音幹名詞] レシェール（外来人名）
legha	[母音幹名詞] 絵
leghúḷ	[動作動詞] <対格>の絵を描く
linepáne	[母音幹名詞] リパライン語（リパラオネ語族の言語）
líṇabáni	[母音幹名詞] 燐字、燐帝字母（ラネーメ系言語に由来する表意・表語文字）
líṇaṇauṭu	[母音幹名詞] ラネーメ系言語に由来する単語
lom	[子音幹名詞] 三
rabháṭúḷ	[動作動詞] <主格>は<対格>を砕く、<主格>は<対格>を粉／粒／破片にする
rakkúḷ	[状態動詞] 生きている、生存している
recúḷ	[動作動詞] <主格>は<対格>を<oṣa>という包装や箱などの中から取り出す
rek	[子音幹名詞] 土
rijúḷ	[瞬間動詞] <主格>は<対格>を願う、<主格>は<対格>を望む、<主格>は<不定詞+ema>したい、<主格>は<異主語不定詞+ema>してほしい	[状態動詞] <主格>は<対格>を願っている、<主格>は<不定詞+ema>したいと思っている、<主格>は<異主語不定詞+ema>してほしいと思っている §21
ríz	[子音幹名詞] 希望、明るい見通し
ríon	[子音幹名詞] 対策
ruṣṣá	[gh性名詞] 上下 §5.3.
rúkasa	[母音幹名詞] 老婆、高齢の女性
rodúḷ	[状態動詞] <主格>は短い
rauki	[母音幹名詞] 胸
kaṣlo	[母音幹名詞] 彼女ら
kaṭádha	[母音幹名詞] 船
khaṇḍí	[間投詞] えーと（フィラー） §1.2.
khaṇṇí	[間投詞] えーと（フィラー） §1.2.
khak	[子音幹名詞] 父
khak khak	[間投詞] ゴホッ、ゲフッ
ká	[母音幹名詞] 彼女
kázalek	[子音幹名詞] 泥
kád	[子音幹名詞] 光、視線、注目
kádan	[鼻音性名詞] カーダン（バート名）
kádaúḷ	[動作動詞] <主格>は<対格>を見せる、<主格>は<対格>を掲げる、<主格>は<対格>を目立たせる
kádúḷ	[瞬間動詞] <主格>は光る、<主格>は注目を集める、<主格>は<対格>が分かる	[状態動詞] <主格>は光っている、<主格>は目立っている、<主格>は<対格>を分かっている
kánatúḷ	[動作動詞] <主格>は走る
kiṣlo	[母音幹名詞] 彼ら
kit	[副詞] とても、非常に
kí	[母音幹名詞] 彼
kítaitúwa	[母音幹名詞] キータイトゥーワ（アイル共和国の都市）
kuṇannúḷ	[動作動詞] 削る、削り取る、鼻をほじる
kom	[連体詞] この
koṭ	[子音幹名詞] 草本
kaikúḷ	[動作動詞] <主格>は<対格>と戦う、<主格>は<対格>に立ち向かう
ghaccúḷ	[瞬間動詞] <主格>は<対格/hína>を理解する、<主格>は<対格/hína>に納得する	[状態動詞] <主格>は<対格/hína>を理解している、<主格>は<対格/hína>に納得している
gaṇṇí	[間投詞] えーと（フィラー） §1.2.
gápaden	[子音幹名詞] フォント
ghátu	[母音幹名詞] 子供
gháni	[母音幹名詞] 火
ghánaúḷ	[動作動詞] <対格>を加熱する、<対格>を温める
ghánúḷ	[状態動詞] 暑い、高温である
gháwanúnímaṣ	[子音幹名詞] ドゥバーギョ民族（ユエスレオネ連邦パニャル県の先住民族） (<gháwanú + nímaṣ)
ghi	[後置詞] ～へ、～に
ghitto	[母音幹名詞] イェクト（外来人名）
