size(byte)	unix timestamp	message
134264	1523906339	bháhepa副詞用法
133715	1523900720	bháhepa「国際的な」
132927	1523790282	動詞がとる格
132259	1523727557	hína縮約系統の語尾を辞書登録
130778	1523642198	lásiに用法追加
130458	1523473539	danúḷ
129768	1523400308	formsを配列に
129767	1523115440	無格の語尾を載せ忘れていた
129274	1523037150	「ラネーメにも採用」における関連リパライン単語の追加
129205	1523036846	23. 「単語
128869	1523031322	22. 「我慢」
128163	1523026182	21. 「人」
127828	1522836837	タカン→皇
127834	1522836668	「男」
127537	1522676581	「裁く」ṣíyáúḷ
127093	1522514021	61. リパコール
124456	1522166392	「短い」rodúḷ
124131	1521536880	55. díṣlo
123898	1521378090	「連邦」追加
122920	1521304416	「用法」に載せてたやつを採用
120125	1521303959	17. 「雨」
117032	1521149383	複数形
117003	1520928121	接中辞
113830	1520923126	添詞
113433	1520758004	「胸」
113108	1520754178	ema語釈変更
112878	1520729466	諸文献をgloss化
112774	1520713212	「冠光」のgloss
112676	1520707038	第三段落のgloss
112666	1520093621	ḍázを語源不明に
112739	1520039384	「数字」
111987	1520020021	15-1. 「数」
111469	1520018693	ohi「友」
111134	1520018012	pugu -> mugu
111134	1520017994	pqra -> pura
111134	1519998394	júgokを登録
110790	1519982236	派生関係のリンク
110679	1519982225	成句登録
110373	1519981981	49-1. 追加情報
110037	1519907788	48. snoj
109055	1519846674	パイグ語の入力ミスを修正
109055	1519842458	「耐える；我慢する」bákúḷ
108451	1519676220	祖語形srjusaが怪しいので削除
108528	1519633862	牌taiを同根語欄に記載
108521	1519396313	10. 「できる」
107965	1519380035	「三」
107568	1519325941	「開く」
106563	1518912092	派生語リンクを増やす
106452	1518749601	7.「〜しすぎている」
105923	1518738873	辞書の細かい加筆
105694	1518738644	6. 「空」
105292	1518695870	46. タカン情報
105284	1518695504	45. いわゆる補助動詞
104998	1518694114	綴り分け
104102	1518691472	「希望」ríz
102212	1518002461	「見ている」を造語
101307	1517880391	rásitúḷ
100923	1517561455	「新しい」
100832	1517139452	「塩」
